"last_name, first_name","player_id","year","player_age","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","p_win","p_loss","p_era","p_hit_into_play","xslg","woba","xwoba","xiso","avg_swing_speed","fast_swing_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted"
"Pepiot, Ryan",686752,2025,27,679,607,134,78,27,3,26,167,61,24.6,9,".221",".404",".297","0.701","0.183",".259","11","12","3.86","444",".401",".306",".311",".175","72.1",27.2,"90.1",36.6,9.7,42.5,"79.1526625","94.907501",26,50.1,38.7,29.7,"45","17.8","25.1","3.3","2.6","6.3",,,,,,"53.9","21.1"
"Schreiber, John",670167,2025,31,265,244,57,34,12,1,10,62,19,23.4,7.2,".234",".414",".292","0.706","0.180",".273","3","3","3.80","183",".416",".305",".311",".171","72",26.1,"88.5",35,9.3,38.3,"77.339312637","93.948012265",23.4,47.7,39.9,27.9,"31.6",,"2",,"19.4","18.7",,"28.3",,,,"69.7","28.3"
"Nelson, Ryne",669194,2025,27,619,572,124,73,25,9,17,132,41,21.3,6.6,".217",".381",".273","0.654","0.164",".252","7","3","3.39","442",".411",".284",".308",".166","71.4",22.1,"91.4",36.2,7.5,45.5,"81.990156636","94.984519659",21.6,50.4,40,28.1,"61.9","14.4","2.8","10.9",,"9.9",,,,,,"71.8","25.3"
"Banda, Anthony",607455,2025,31,269,229,45,26,10,1,8,61,35,22.7,13,".197",".354",".305","0.659","0.157",".227","5","1","3.18","171",".355",".285",".296",".148","71",20.5,"89.8",35.1,8.8,38.6,"80.008237647","93.888422308",27.2,47.7,39.8,35.7,"23.4","49.2","3.8",,"23.7",,,,,,,"47","49.2"
"Vesia, Alex",681911,2025,29,237,204,37,21,7,0,9,80,22,33.8,9.3,".181",".348",".272","0.620","0.167",".235","4","2","3.02","130",".346",".269",".274",".161","71.1",20.7,"88.5",38.5,10.8,37.7,"77.218813968","94.182131587",30.7,50.2,30.8,29.2,"57.5","36.4","6.2",,,,,,,,,"57.5","36.4"
"Mears, Nick",683232,2025,28,222,197,42,27,6,2,7,46,14,20.7,6.3,".213",".371",".258","0.629","0.158",".229","5","3","3.49","161",".466",".266",".325",".207","71.1",18.8,"90.4",39.8,10.6,42.9,"80.078215316","94.850952785",25,54.9,34.8,34.8,"53.5","42.4",,"4.1",,,,,,,,"53.5","46.5"
"Seymour, Ian",693855,2025,26,242,217,48,35,8,0,5,64,19,26.4,7.9,".221",".327",".290","0.617","0.106",".287","4","3","3.63","156",".384",".274",".308",".146","72.7",29.8,"88.7",39.7,7.1,37.8,"77.591748553","93.983770066",27,49.5,37.2,26.3,"31.8","2.2","31.6","1.6","5.4","21.6",,"5.8",,,,"58.8","9.6"
"Peralta, Freddy",642547,2025,29,723,643,124,80,23,0,21,204,66,28.2,9.1,".193",".327",".277","0.604","0.134",".246","17","6","2.70","444",".361",".270",".289",".155","71.5",22.8,"88",33.9,9.3,34.5,"76.986266955","93.5568435",30.1,46.9,37.5,28.9,"53.5","10.2","21.2","15.1",,,,,,,,"53.5","25.3"
"López, Pablo",641154,2025,29,312,285,64,44,13,1,6,73,20,23.4,6.4,".225",".340",".282","0.622","0.115",".278","5","4","2.74","215",".398",".274",".309",".149","71.5",22.8,"88.7",39.5,6,35.3,"77.770456355","93.87682108",25.9,48.5,38.6,27.4,"41.2",,"21.2","9.9","6.5",,,"21.2",,,,"47.7","31.1"
"Montero, Rafael",606160,2025,34,253,215,42,26,11,0,5,58,37,22.9,14.6,".195",".316",".312","0.628","0.121",".242","1","2","4.48","158",".328",".283",".295",".123","72.2",28.9,"88.3",25.3,7,38.6,"76.808366154","94.108485769",29.3,47.1,48.7,25.9,"40.6","7.5",,,"4.9",,"47",,,,,"45.5","7.5"
"Eisert, Brandon",685126,2025,27,306,272,75,41,20,2,12,74,25,24.2,8.2,".276",".496",".344","0.840","0.220",".333","3","8","4.39","202",".418",".353",".314",".181","71.6",21.8,"87.8",38.6,9.4,37.1,"76.389994545","93.646268426",32,46.8,40.1,30.7,"31.7","35.7","29.3",,"3.3",,,,,,,"35","35.7"
"Webb, Jacob",657097,2025,31,267,243,49,31,8,0,10,58,19,21.7,7.1,".202",".358",".264","0.622","0.156",".222","5","4","3.00","188",".365",".270",".281",".148","71.2",21.3,"86.6",30.9,5.9,34.6,"75.052885217","93.147000383",27.6,51.1,33.5,35.6,"44.5",,"34.7",,,,,"20.9",,,,"44.5","20.9"
"Kahnle, Tommy",592454,2025,35,267,235,51,33,8,2,8,50,31,18.7,11.6,".217",".370",".311","0.681","0.153",".243","1","5","4.43","185",".413",".302",".328",".169","71.8",23.8,"88.3",32.4,9.2,37.3,"77.436664348","93.764634946",25.4,43.7,47.6,23.2,"14","0.4","85.6",,,,,,,,,"14","0.4"
"Lodolo, Nick",666157,2025,27,642,592,138,92,23,1,22,156,31,24.3,4.8,".233",".387",".285","0.672","0.154",".279","9","8","3.33","442",".389",".293",".292",".161","71.6",22.3,"88.8",31,8.1,40.5,"77.560730837","94.23638627",27.5,50,44.6,27.1,"27.8",,"21.7","28.7","21.8",,,,,,,"49.6","28.7"
"Lynch IV, Daniel",663738,2025,28,289,254,66,46,12,0,8,45,26,15.6,9,".260",".402",".341","0.743","0.142",".287","6","2","3.06","212",".414",".327",".329",".162","71.6",20.9,"88.6",28.3,8,42.5,"76.90873625","94.451533462",22.3,42.9,49.1,25,"22.7","29.2","19.2","9.8","19",,,,,,,"41.7","39.1"
"Junk, Janson",676083,2025,29,447,421,112,74,29,1,8,77,13,17.2,2.9,".266",".397",".289","0.686","0.131",".302","6","4","4.17","353",".453",".295",".326",".176","72.4",27.5,"91.6",35.1,8.5,47.3,"81.205599371","95.649523095",18.2,52.5,41.4,24.9,"37.7","27.6","7.8","11.7",,,,"15.2",,,,"37.7","54.5"
"Faucher, Calvin",676534,2025,29,255,225,53,40,4,1,8,59,24,23.1,9.4,".236",".369",".314","0.683","0.133",".280","4","4","3.28","169",".387",".302",".323",".124","71.5",23.7,"87.7",37.3,4.7,34.3,"76.544550714","93.486938024",23.7,42.5,45,23.1,"17.5",,"0.1","15.1","12.2","37",,"18.1",,,,"66.7","33.2"
"Estévez, Carlos",608032,2025,32,269,241,48,31,11,1,5,54,22,20.1,8.2,".199",".315",".276","0.591","0.116",".235","4","5","2.45","189",".404",".255",".299",".176","72.2",29.5,"89.1",35.4,10.6,38.1,"78.515485957","93.934951649",19,49.4,25.4,30.2,"53.5","30.9","15.6",,,,,,,,,"53.5","30.9"
"Ferrer, Jose A.",678606,2025,25,324,294,81,62,12,2,5,71,16,21.9,4.9,".276",".381",".326","0.707","0.105",".345","4","4","4.48","230",".354",".310",".294",".102","71.2",18.8,"89.1",28.3,4.8,42.2,"77.190838991","94.646342064",24.8,49.8,64.3,13.9,"8.8","7.5","21.9",,"61.8",,,,,,,"70.6","7.5"
"Williams, Gavin",668909,2025,25,704,615,130,83,23,1,23,173,83,24.6,11.8,".211",".364",".307","0.671","0.153",".254","12","5","3.06","445",".405",".299",".321",".174","71.8",23.9,"90.4",35.3,9,44.3,"80.176453348","94.830091267",27.7,45.7,46.1,26.7,"37.4",,"0.1","22","6.6","14",,"19.9",,,,"58","41.9"
"Ferguson, Caleb",657571,2025,28,270,236,54,41,11,0,2,51,22,18.9,8.1,".229",".301",".307","0.608","0.072",".280","5","4","3.58","191",".330",".271",".291",".093","70.8",17.1,"84.8",35.6,3.1,27.7,"72.885195806","92.37738129",21.4,47.9,49.7,18.3,"31.2",,,,"23.6","23.4",,,"21.8",,,"78.2","21.8"
