"last_name, first_name","player_id","year","player_age","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","p_win","p_loss","p_era","p_hit_into_play","xslg","woba","xwoba","xiso","avg_swing_speed","fast_swing_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted"
"Civale, Aaron",650644,2025,30,435,392,96,54,26,0,16,88,33,20.2,7.6,".245",".434",".313","0.747","0.189",".276","4","9","4.85","307",".423",".323",".314",".190","71.7",24.9,"88.5",34.9,9.8,39.1,"77.580307632","93.781385182",21.8,45.4,34.9,31.9,"15.5","7.7",,"18.9","16.8","35","5.8","0.3",,,,"67.3","27"
"Sale, Chris",519242,2025,36,510,463,102,72,15,4,11,165,32,32.4,6.3,".220",".341",".285","0.626","0.121",".315","7","5","2.58","302",".321",".278",".265",".115","70.9",19.1,"87.2",36.4,6.3,35.4,"75.455732933","93.5351905",30.1,48.9,40.1,30.8,"41.7","47.3","7.6",,"3.5",,,,,,,"45.2","47.3"
"Waldrep, Hurston",694462,2025,23,229,203,45,34,8,0,3,55,22,24,9.6,".222",".305",".306","0.611","0.083",".288","6","1","2.88","149",".359",".276",".310",".108","72.3",30.1,"89.1",32.2,4,40.3,"78.601525211","94.194874789",28.5,44.7,49.7,21.5,"2.3","11.6",,"13.1","18.8","21.8","32.4",,,,,"42.9","24.7"
"Ryan, Joe",657746,2025,29,689,633,138,80,32,0,26,194,39,28.2,5.7,".218",".392",".275","0.667","0.174",".269","13","10","3.42","444",".397",".290",".289",".188","72.2",28.6,"90.2",33.1,11.5,41.9,"79.815298733","94.608611131",26.1,49.7,36.9,32.2,"50.3","9.2",,"3.9","12.4",,"11.1","13.1",,,,"62.6","26.3"
"Hendricks, Kyle",543294,2025,35,695,638,167,102,37,3,25,114,43,16.4,6.2,".262",".447",".311","0.758","0.185",".281","8","10","4.76","533",".408",".324",".308",".162","72.2",27.8,"86.1",32.6,8.3,34.3,"73.673250302","93.310892792",18.3,48,39.2,28.9,"15",,"38.4","8.2","38.4",,,,,,,"53.4","8.2"
"Sugano, Tomoyuki",608372,2025,35,675,626,173,116,21,3,33,106,36,15.7,5.3,".276",".478",".321","0.799","0.202",".285","10","10","4.64","525",".524",".342",".366",".235","72.4",28.3,"90",38.5,11.8,39.8,"79.557564154","94.37679225",18.5,47,40.8,28.6,"18.9",,,"9.7","16.1","12","23.5","19.8",,,,"47","29.6"
"Koenig, Jared",657649,2025,31,268,241,57,39,11,1,6,68,20,25.4,7.5,".237",".365",".305","0.670","0.128",".304","6","1","2.86","176",".324",".294",".263",".126","71.4",21,"88.7",29.5,5.1,34.7,"78.564919655","93.512511561",22.9,43.9,46.6,33,"1.3",,"9.1","15.5","56.7","17.4",,,,,,"75.4","15.5"
"Burnes, Corbin",669203,2025,30,265,233,49,29,13,0,7,63,26,23.8,9.8,".210",".356",".297","0.653","0.146",".256","3","2","2.66","173",".385",".288",".306",".158","72.5",31.3,"89.5",33.5,8.1,41.6,"77.976536977","94.85857848",25.7,46.3,50.9,19.1,,"8.9","7.2","19.2","9.6","55",,,,,,"64.6","28.1"
"Maton, Phil",664208,2025,32,249,214,42,27,12,0,3,81,24,32.5,9.6,".196",".294",".296","0.590","0.098",".295","4","5","2.79","137",".282",".266",".264",".088","71",19,"84.8",38.7,3.6,30.7,"72.288009706","92.742270667",36.2,46.9,46,19.7,,,,"38.2","12.1","36",,"13.7",,,,"48.1","51.9"
"Anderson, Tyler",542881,2025,35,599,533,135,75,29,3,28,104,57,17.4,9.5,".253",".477",".326","0.803","0.224",".263","2","8","4.56","435",".480",".341",".345",".226","72.2",27.7,"88",41.8,11,36.6,"76.495283871","93.859851336",25,49,29.4,34.9,"38.1","3.5","34","0.3","3.6","20.5",,,,,,"62.3","3.7"
"Young, Brandon",687064,2025,26,256,230,67,38,17,0,12,47,22,18.4,8.6,".291",".522",".350","0.872","0.231",".318","1","7","6.24","187",".439",".372",".320",".198","71.9",26.5,"89.4",32.1,10.2,42.2,"78.202437717","94.69738663",21.6,48.2,44.9,28.9,"43.8","8.9","4.6","15.8",,"9.2","17.8",,,,,"52.9","24.7"
"Greene, Hunter",668881,2025,25,420,391,75,37,22,1,15,132,26,31.4,6.2,".192",".368",".246","0.614","0.176",".246","7","4","2.76","260",".373",".267",".273",".171","71.2",20,"90.4",35.8,9.6,45,"79.966168837","94.82207358",31.4,53.4,34.2,31.9,"54.2","35",,"0.1",,,"10.8",,,,,"54.2","35.1"
"Cano, Yennier",666974,2025,31,251,218,62,47,7,1,7,53,24,21.1,9.6,".284",".422",".360","0.782","0.138",".344","3","7","5.12","170",".351",".342",".299",".117","72.3",27.6,"88.1",27.1,4.7,35.3,"77.245823494","93.617649337",23.5,45.2,55.9,17.6,"11.5","20.2","12.5",,"45.8","2.8","7.2",,,,,"60.1","20.2"
"Junis, Jakob",596001,2025,32,274,249,64,46,11,2,5,55,18,20.1,6.6,".257",".378",".315","0.693","0.121",".309","4","1","2.97","197",".406",".301",".312",".150","71.7",21.9,"87.6",30.5,6.1,38.6,"75.668181771","93.920402813",22.7,44.5,42.1,25.9,"8.8","44.5","19.9",,"26.8",,,,,,,"35.7","44.5"
